Doctor,Date,Post,Available
Unit1_Doc1,2025-08-04,ED1,1
Unit1_Doc1,2025-08-04,ED2,1
Unit1_Doc1,2025-08-04,ED3,0
Unit1_Doc1,2025-08-04,Ward3,0
Unit1_Doc1,2025-08-04,Ward4,1
Unit1_Doc1,2025-08-04,ED Cover A1,1
Unit1_Doc1,2025-08-04,ED Cover A2,1
Unit1_Doc1,2025-08-05,ED1,1
Unit1_Doc1,2025-08-05,ED2,1
Unit1_Doc1,2025-08-05,ED3,0
Unit1_Doc1,2025-08-05,Ward3,1
Unit1_Doc1,2025-08-05,Ward4,0
Unit1_Doc1,2025-08-05,ED Cover A1,1
Unit1_Doc1,2025-08-05,ED Cover A2,1
Unit1_Doc1,2025-08-06,ED1,1
Unit1_Doc1,2025-08-06,ED2,0
Unit1_Doc1,2025-08-06,ED3,1
Unit1_Doc1,2025-08-06,Ward3,1
Unit1_Doc1,2025-08-06,Ward4,1
Unit1_Doc1,2025-08-06,ED Cover A1,1
Unit1_Doc1,2025-08-06,ED Cover A2,0
Unit1_Doc1,2025-08-07,ED1,1
Unit1_Doc1,2025-08-07,ED2,0
Unit1_Doc1,2025-08-07,ED3,0
Unit1_Doc1,2025-08-07,Ward3,1
Unit1_Doc1,2025-08-07,Ward4,0
Unit1_Doc1,2025-08-07,ED Cover A1,0
Unit1_Doc1,2025-08-07,ED Cover A2,1
Unit1_Doc1,2025-08-08,ED1,0
Unit1_Doc1,2025-08-08,ED2,1
Unit1_Doc1,2025-08-08,ED3,0
Unit1_Doc1,2025-08-08,Ward3,1
Unit1_Doc1,2025-08-08,Ward4,1
Unit1_Doc1,2025-08-08,ED Cover A1,1
Unit1_Doc1,2025-08-08,ED Cover A2,0
Unit1_Doc1,2025-08-09,ED1,0
Unit1_Doc1,2025-08-09,ED2,1
Unit1_Doc1,2025-08-09,ED3,1
Unit1_Doc1,2025-08-09,Ward4,1
Unit1_Doc1,2025-08-09,Ward5,1
Unit1_Doc1,2025-08-09,Ward6,1
Unit1_Doc1,2025-08-09,Ward7,1
Unit1_Doc1,2025-08-09,Ward9,0
Unit1_Doc1,2025-08-09,Ward10,1
Unit1_Doc1,2025-08-09,Standby Oncall,0
Unit1_Doc1,2025-08-10,ED1,1
Unit1_Doc1,2025-08-10,ED2,1
Unit1_Doc1,2025-08-10,ED3,1
Unit1_Doc1,2025-08-10,Ward4,1
Unit1_Doc1,2025-08-10,Ward5,0
Unit1_Doc1,2025-08-10,Ward6,1
Unit1_Doc1,2025-08-10,Ward7,0
Unit1_Doc1,2025-08-10,Ward9,1
Unit1_Doc1,2025-08-10,Ward10,0
Unit1_Doc1,2025-08-10,Standby Oncall,1
Unit1_Doc1,2025-08-11,ED1,0
Unit1_Doc1,2025-08-11,ED2,1
Unit1_Doc1,2025-08-11,ED3,0
Unit1_Doc1,2025-08-11,Ward3,1
Unit1_Doc1,2025-08-11,Ward4,1
Unit1_Doc1,2025-08-11,ED Cover A1,1
Unit1_Doc1,2025-08-11,ED Cover A2,1
Unit1_Doc1,2025-08-12,ED1,1
Unit1_Doc1,2025-08-12,ED2,1
Unit1_Doc1,2025-08-12,ED3,0
Unit1_Doc1,2025-08-12,Ward3,1
Unit1_Doc1,2025-08-12,Ward4,1
Unit1_Doc1,2025-08-12,ED Cover A1,1
Unit1_Doc1,2025-08-12,ED Cover A2,1
Unit1_Doc1,2025-08-13,ED1,1
Unit1_Doc1,2025-08-13,ED2,0
Unit1_Doc1,2025-08-13,ED3,1
Unit1_Doc1,2025-08-13,Ward3,0
Unit1_Doc1,2025-08-13,Ward4,1
Unit1_Doc1,2025-08-13,ED Cover A1,1
Unit1_Doc1,2025-08-13,ED Cover A2,1
Unit1_Doc1,2025-08-14,ED1,1
Unit1_Doc1,2025-08-14,ED2,1
Unit1_Doc1,2025-08-14,ED3,0
Unit1_Doc1,2025-08-14,Ward3,1
Unit1_Doc1,2025-08-14,Ward4,1
Unit1_Doc1,2025-08-14,ED Cover A1,1
Unit1_Doc1,2025-08-14,ED Cover A2,1
Unit1_Doc1,2025-08-15,ED1,1
Unit1_Doc1,2025-08-15,ED2,1
Unit1_Doc1,2025-08-15,ED3,1
Unit1_Doc1,2025-08-15,Ward3,1
Unit1_Doc1,2025-08-15,Ward4,0
Unit1_Doc1,2025-08-15,ED Cover A1,0
Unit1_Doc1,2025-08-15,ED Cover A2,1
Unit1_Doc1,2025-08-16,ED1,1
